56;Jawa Timur;RSU Dr Soebandi;Jl Dr Soebandi No 1 Jember;
57;Jawa Timur;RS Dr R Koesma;Jl Dr WS Husodo, Tuban;(0356) 321010
58;Jawa Timur;RS Dr S Djatikoesoemo;Jl Dr Wahidin 36, Bojonegoro;(0353) 881193
59;Jawa Timur;RS Pare;Jl Pahlawan Kusuma B I, Pare;(0354) 391718
60;Jawa Timur;RS Blambangan;Jl Istiqlah No 49, Banyuwangi;(0333) 421118
61;Jawa Timur;RS Dr Soedono;Jl Sumbawa No 6, Madiun;
62;Bali;RSU Sanglah;Jl Diponegoro, Denpasar;
63;Bali;RSU Tabanan;Jl Pahlawan No 14, Tabanan;(0361) 811027
64;Bali;RSU Sanjiwani;Jl Ciung Wenara No 2, Gianyar;(0361) 943020
65;Nusa Tenggara Barat;RSU Mataram;Jl Pejanggik 6, Mataram;
66;Nusa Tenggara Barat;RSU Raba;Jl Langsat No 1 Raba, Kabupaten Bima;(0374) 43142
67;Nusa Tenggara Barat;RSU Dr R Sudjono;Jl Prof M Yamin SH No 55, Selong;(0376) 21118
68;Nusa Tenggara Barat;RSU Praya;Jl Basuki Rahmat No 11, Praya;(0370) 654007
69;Nusa Tenggara Timur;RSU Prof Dr WZ Johanes;Jl Dr Moch Hatta No 19, Kupang;(0380) 832892
70;Nusa Tenggara Timur;RSU Dr TC Hillers;Jl Kesehatan, Maumere;(0382) 21617
71;Kalimantan Barat;RSU Dr. Sudarso;Jl Adi Sucipto, Pontianak;(0561) 7320
72;Kalimantan Barat;RSU Dr Abdul Aziz;Jl Dr Soetomo No 28, Singkawang;(0562) 631748
73;Kalimantan Barat;RSU Sintang;Jl Pattimura, Sintang;
74;Kalimantan Tengah;RSU Dr Doris Sylvanus;Jl Tambun Bunga No 4 Palangkaraya;(0536) 21717
75;Kalimantan Tengah;RSU Dr Murjani;Jl HM Arsyad No 65, Sampit;(0512) 21010
76;Kalimantan Selatan;RSU Ulin;Jl Jenderal A Yani 79, Banjarmasin;(0511) 2180
77;Kalimantan Selatan;RSU H Boejasin;Jl A Syahrani, Pelaihari;(0512) 21082
78;Kalimantan Utara;RSU Tarakan;Jl Merapi I, Tarakan;(0551) 21720
79;Kalimantan Utara;RSU Tanjung Selor;Jl Cendrawasih, Tanjung Selor;
80;Kalimantan Timur;RSU Dr. Kanujoso Djatiwibowo;Jl MT Haryono Ring Road Balikpapan;
81;Kalimantan Timur;RSU HA Wahab Sjahranie;Jl Dr Soetomo, Samarinda;(0541) 738118
82;Kalimantan Timur;RSU Kota Bontang;Jl A Yani, Bontang;(0548) 21256
83;Kalimantan Timur;RSU Panglima Sebaya;Jl Ciptomangunkusumo No 2 Grogot;
84;Sulawesi Utara;RSU Prof Dr RD Kandou;Jl Raya Tanawangko;(0431) 853191-853193
85;Sulawesi Utara;RSU Dr Sam Ratulangi;Luaan Tondano, Minahasa;
86;Gorontalo;RSU Prof Dr H Aloei Saboe;Jl S Batutihe No 7, Gorontalo;(0435) 821019
87;Sulawesi Tengah;RSU Undata;Jl Dr Suharso 14, Palu;
88;Sulawesi Tengah;RSU Luwuk;Jl lmam Bonjol No 14, Luwuk;(0461) 21820
89;Sulawesi Tengah;RS Mokopido;Jl Lanoni, Toli-Toli;(0453) 21300
90;Sulawesi Tengah;RSU Kolonedale;Jl Wolter Monginsidi No 2, Kolonedale;(0465) 21010
91;Sulawesi Selatan;RSU Dr Wahidin Sudirohusodo;Jl Perintis Kemerdekaan Km 11, Makassar;(0411) 510675
92;Sulawesi Selatan;Andi Makkasau;Jl Nurussamawati 3, Pare-pare;
93;Sulawesi Selatan;RSU Lakipadad;Jl Pongtiku Mandetek, Tana Toraja;(0423) 22264
94;Sulawesi Selatan;RS lslam Faisal;Jl AP Pettarani, Makassar;(0411) 871942
95;Sulawesi Selatan;RS Akademis Jaury;Jl Bulusaraung No 57, Makassar;(0411) 317343
96;Sulawesi Selatan;RSU Sinjai;Jl Jenderal Sudirman No 47, Sinjai;(0482) 21132
97;Sulawesi Tenggara;RSU Kendari;Jl Dr Sam Ratulangi No 151, Kendari;
98;Maluku;RSU Dr. M Haulussy  ;Jl Dr Kayadoe, Ambon;
99;Maluku Utara;RSU Chasan Basoeri;Jl Tanah Tinggi, Ternate;(0921) 21281
100;Papua;RSU Jayapura;Jl Kesehatan I Dok ll, Jayapura;
